,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
5953,6253,League of Legends,PC,5.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,2,25,14.0
5954,6254,World of Warcraft,PC,20.0,I play for fun,improving,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Sweden,Multiplayer - online - with strangers,3,10,13.0
5955,6255,League of Legends,PC,15.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,6,18.0
5956,6256,League of Legends,PC,17.0,I play for fun,improving,Male,18,Student at school,,Canada,Multiplayer - online - with real life friends,8,15,11.0
5957,6257,League of Legends,PC,2.0,I play for fun,relaxing,Male,25,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,1,25,
5958,6258,League of Legends,PC,15.0,I play for the competition,improving,Male,19,Unemployed / between jobs,,Italy,Multiplayer - online - with real life friends,7,11,13.0
5959,6259,League of Legends,PC,15.0,I play for fun,having fun,Female,22,Employed,Bachelor or equivalent,Germany,Multiplayer - online - with online acquaintances or teammates,15,13,21.0
5960,6260,League of Legends,PC,6.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,17,17,38.0
5961,6261,League of Legends,PC,5.0,I play for fun,relaxing,Male,25,Employed,Bachelor or equivalent,Germany,Multiplayer - online - with strangers,0,28,3.0
5962,6262,League of Legends,PC,12.0,I play for fun,improving,Male,18,Student at school,,Germany,Multiplayer - online - with real life friends,10,18,21.0
5963,6263,League of Legends,PC,15.0,I play for fun,A combination of winning  improving  and having fun.  I don't regret playing if we don't win or make mistakes.,Male,26,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,4,16,18.0
5964,6264,League of Legends,PC,3.0,I play for fun,improving,Male,24,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with strangers,2,24,12.0
5965,6265,League of Legends,PC,24.0,I play for fun,having fun,Male,18,Student at school,,Netherlands,Multiplayer - online - with online acquaintances or teammates,2,17,19.0
5966,6266,League of Legends,PC,10.0,I play for fun,having fun,Male,21,Employed,High school diploma (or equivalent),Romania,Multiplayer - online - with real life friends,8,13,16.0
5967,6267,League of Legends,PC,10.0,I play for fun,having fun,Female,18,Student at school,,USA,Multiplayer - online - with strangers,6,18,37.0
5968,6269,League of Legends,PC,20.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,2,26,13.0
5969,6270,League of Legends,PC,14.0,I play for fun,improving,Male,18,Student at school,,Germany,multiplayer online with friends AND strangers,6,16,13.0
5970,6271,League of Legends,PC,21.0,I play for fun,having fun,Male,19,Student at college / university,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,1,22,9.0
5971,6272,League of Legends,PC,50.0,I play for fun,improving,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Norway,Multiplayer - online - with strangers,7,9,35.0
5972,6273,League of Legends,PC,5.0,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),France,Multiplayer - online - with real life friends,0,34,
5973,6274,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at college / university,Bachelor or equivalent,France,Multiplayer - online - with strangers,9,11,32.0
5974,6275,League of Legends,PC,35.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Spain,Multiplayer - online - with strangers,18,20,43.0
5975,6276,League of Legends,PC,10.0,I play for fun,having fun,Female,22,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,4,15,16.0
5976,6277,League of Legends,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Female,19,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,0,23,7.0
5977,6278,League of Legends,PC,20.0,I play for fun,improving,Male,21,Student at college / university,Bachelor or equivalent,Ireland,Multiplayer - online - with real life friends,1,8,1.0
5978,6279,League of Legends,PC,30.0,I play for fun,improving,Male,21,Student at college / university,,USA,Multiplayer - online - with online acquaintances or teammates,15,23,20.0
5979,6281,League of Legends,PC,10.0,I play for fun,having fun,Female,25,Employed,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,9,26,33.0
5980,6282,League of Legends,PC,12.0,I play for fun,relaxing,Male,28,Employed,Master or equivalent,Sweden,Multiplayer - online - with strangers,4,17,20.0
5981,6283,League of Legends,PC,15.0,I play for fun,having fun,Male,24,Unemployed / between jobs,Bachelor or equivalent,Macedonia,Multiplayer - online - with strangers,3,20,16.0
5982,6284,League of Legends,PC,25.0,I play for fun,winning,Male,20,Employed,High school diploma (or equivalent),Brazil,Multiplayer - online - with strangers,3,26,20.0
5983,6285,League of Legends,PC,16.0,I play for fun,having fun,Male,21,Student at college / university,,UK,Multiplayer - online - with real life friends,7,28,32.0
5984,6286,League of Legends,PC,15.0,I play for fun,improving,Male,23,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - real life friends and online acquaintances,0,17,23.0
5985,6287,League of Legends,PC,15.0,I play for fun,winning,Male,28,Employed,Bachelor or equivalent,UK,Singleplayer,0,30,13.0
5986,6288,Other,PC,30.0,I play for fun,having fun,Male,25,Unemployed / between jobs,Bachelor or equivalent,USA,Singleplayer,0,10,18.0
5987,6290,League of Legends,PC,8.0,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with online acquaintances or teammates,0,29,16.0
5988,6291,League of Legends,PC,10.0,I play for fun,having fun,Female,22,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,6,5,39.0
5989,6292,League of Legends,PC,49.0,I play for fun,improving,Male,22,Student at college / university,Bachelor or equivalent,France,Singleplayer,5,23,13.0
5990,6293,League of Legends,PC,25.0,I play for fun,having fun,Male,25,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,1,29,13.0
5991,6295,League of Legends,PC,5.0,I play for fun,having fun,Male,22,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,2,18,6.0
5992,6296,League of Legends,PC,18.0,I play for fun,improving,Male,20,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,8,11,7.0
5993,6297,League of Legends,PC,14.0,I play for fun,having fun,Male,22,Employed,Bachelor or equivalent,UK,Multiplayer - online - with online acquaintances or teammates,5,26,8.0
5994,6298,League of Legends,PC,40.0,I play for fun,improving,Male,18,Student at college / university,,UK,Multiplayer - online - with strangers,13,10,38.0
5995,6299,League of Legends,PC,40.0,I play for fun,having fun,Male,20,Employed,,Netherlands,Multiplayer - online - with real life friends,1,15,52.0
5996,6301,League of Legends,PC,15.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Netherlands,Real life friends and strangers.,2,28,19.0
5997,6302,League of Legends,PC,50.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),winning,Male,22,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,12,18,
5998,6303,Other,Console (PS  Xbox  ...),40.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,0,29,0.0
5999,6304,League of Legends,PC,21.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,5,14,14.0
6000,6305,League of Legends,PC,7.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with real life friends,0,18,6.0
6001,6306,League of Legends,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at school,,Croatia,Multiplayer - online - with online acquaintances or teammates,1,29,22.0
6002,6307,League of Legends,PC,7.0,I play for fun,having fun,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Netherlands,Multiplayer - online - with strangers,0,21,
6003,6308,League of Legends,PC,45.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,8,18,14.0
6004,6309,League of Legends,PC,5.0,I play for fun,improving,Male,18,Student at school,,Slovenia,Multiplayer - online - with strangers,2,12,15.0
6005,6310,League of Legends,PC,9.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,12,17,21.0
6006,6311,League of Legends,PC,20.0,I play for fun,all of the above,Male,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,2,24,11.0
6007,6313,Starcraft 2,PC,10.0,I play for fun,improving,Male,23,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with strangers,8,18,29.0
6008,6314,League of Legends,PC,10.0,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with strangers,7,12,28.0
6009,6315,League of Legends,PC,12.0,I play for fun,improving,Male,27,Student at college / university,Master or equivalent,Germany,Multiplayer - online - with strangers,2,30,14.0
6010,6316,League of Legends,PC,20.0,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Unknown,Multiplayer - online - with strangers,19,5,68.0
6011,6317,Counter Strike,PC,10.0,Play but earn from betting and trading ,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,11,10,22.0
6012,6318,Other,PC,12.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Brazil,Multiplayer - online - with real life friends,14,12,
6013,6319,League of Legends,PC,15.0,I play for fun,having fun,Male,25,Employed,Master or equivalent,USA,Multiplayer - online - with real life friends,4,30,12.0
6014,6320,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),winning,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,1,18,6.0
6015,6321,League of Legends,PC,15.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,20,14.0
6016,6322,League of Legends,PC,40.0,I play to become a pro gamer,improving,Male,18,Student at college / university,High school diploma (or equivalent),Denmark,Multiplayer - online - with strangers,4,18,11.0
6017,6323,League of Legends,PC,28.0,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,3,31,10.0
6018,6324,League of Legends,PC,10.0,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Turkey,Multiplayer - online - with real life friends,10,23,42.0
6019,6325,League of Legends,PC,20.0,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,5,14,23.0
6020,6326,League of Legends,PC,30.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),France,Multiplayer - online - with online acquaintances or teammates,2,27,33.0
6021,6328,League of Legends,PC,11.0,I play for fun,improving,Male,18,Student at school,,Germany,Multiplayer - online - with real life friends,6,12,26.0
6022,6329,Starcraft 2,PC,5.0,I play for fun,having fun,Male,25,Employed,Bachelor or equivalent,USA,Singleplayer,9,6,46.0
6023,6330,League of Legends,PC,15.0,I play for fun,having fun,Male,27,Employed,Bachelor or equivalent,Germany,Multiplayer - online - with online acquaintances or teammates,4,10,21.0
6024,6331,League of Legends,PC,20.0,I play for fun,winning,Male,22,Unemployed / between jobs,Bachelor or equivalent,Ireland,Multiplayer - online - with strangers,3,33,
6025,6333,League of Legends,PC,10.0,I play for fun,A mix of the 4 above,Male,23,Student at college / university,High school diploma (or equivalent),Denmark,Multiplayer - online - with real life friends,0,33,0.0
6026,6334,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,18,Student at school,,Denmark,Multiplayer - online - with online acquaintances or teammates,1,30,6.0
6027,6335,League of Legends,PC,21.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),winning,Male,19,Student at college / university,,USA,Multiplayer - online - with strangers,17,11,11.0
6028,6336,League of Legends,PC,26.0,I play for fun,improving,Male,18,Student at school,,USA,Multiplayer - online - with real life friends,8,23,14.0
6029,6337,League of Legends,PC,20.0,I play for fun,winning,Male,21,,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,30,
6030,6338,League of Legends,PC,30.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,0,20,20.0
6031,6339,League of Legends,PC,40.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,21,Student at college / university,High school diploma (or equivalent),Greece,Multiplayer - online - with real life friends,2,27,
6032,6341,League of Legends,PC,15.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,0,34,
6033,6342,League of Legends,PC,21.0,I play for fun,having fun,Male,24,Employed,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,0,26,3.0
6034,6343,Heroes of the Storm,PC,35.0,I play for fun,having fun,Female,31,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with real life friends,4,19,33.0
6035,6344,League of Legends,PC,14.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,4,28,25.0
6036,6346,Hearthstone,PC,28.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,6,19,18.0
6037,6347,League of Legends,PC,30.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,14,21,0.0
6038,6348,League of Legends,PC,14.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Colombia,Multiplayer - online - with real life friends,9,24,4.0
6039,6350,League of Legends,PC,10.0,I play for fun,improving,Male,22,Student at college / university,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,2,27,10.0
6040,6351,League of Legends,PC,25.0,I play for fun,improving,Male,26,Unemployed / between jobs,Bachelor or equivalent,Poland,Singleplayer,5,6,23.0
6041,6352,League of Legends,PC,40.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,31,12.0
6042,6353,League of Legends,PC,16.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),All of the above are equal to me,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,4,28,8.0
6043,6354,League of Legends,PC,15.0,I play for fun,forgetting,Male,18,Student at school,,USA,Multiplayer - online - with strangers,4,15,5.0
6044,6355,League of Legends,PC,30.0,I play for fun,winning,Male,22,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,4,21,23.0
6045,6356,League of Legends,PC,40.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,0,33,3.0
6046,6357,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,12,27,7.0
6047,6358,League of Legends,PC,5.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,5,21,19.0
6048,6359,League of Legends,PC,2.0,I play for fun,relaxing,Male,20,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,2,25,14.0
6049,6360,League of Legends,PC,16.0,I play this game for fun but have competitive background,improving,Male,22,Employed,Bachelor or equivalent,Germany,Multiplayer - online - with real life friends,2,23,18.0
6050,6361,League of Legends,PC,10.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,17,8.0
6051,6362,League of Legends,PC,21.0,I play for fun,improving,Male,18,Student at college / university,,UK,Multiplayer - online - with online acquaintances or teammates,8,14,32.0
6052,6363,League of Legends,PC,25.0,I play for fun,sometimes winning; sometimes having fun,Male,19,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with real life friends,1,22,3.0
6053,6364,League of Legends,PC,20.0,I play for fun,improving,Male,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,1,35,15.0
6054,6365,League of Legends,PC,20.0,I play for fun,improving,Female,21,Unemployed / between jobs,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,15,15,15.0
6055,6366,League of Legends,PC,12.0,I play for fun,improving,Male,25,Student at college / university,High school diploma (or equivalent),Chile,Multiplayer - online - with real life friends,6,30,16.0
6056,6367,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,19,Student at college / university,High school diploma (or equivalent),Slovenia,Multiplayer - online - with strangers,5,21,14.0
6057,6368,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at school,,Finland,Multiplayer - online - with strangers,0,19,5.0
6058,6369,League of Legends,PC,12.0,I play for fun,winning,Male,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,0,30,15.0
6059,6370,League of Legends,PC,10.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Denmark,mostly multiplayer but a bit each reply-option,1,30,1.0
6060,6371,League of Legends,PC,70.0,I play for fun,improving,Male,18,Student at school,,UK,Options 3 4 & 5,1,30,7.0
6061,6372,League of Legends,PC,16.0,I play for fun,improving,Male,22,Student at college / university,Ph.D.  Psy. D.  MD (or equivalent),Spain,Multiplayer - online - with online acquaintances or teammates,1,31,6.0
6062,6373,League of Legends,PC,6.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,1,12,41.0
6063,6374,League of Legends,PC,7.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Female,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,4,24,4.0
6064,6375,League of Legends,PC,35.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun and winning equally important  willing to lose if having fun...etc,Male,18,Student at school,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,18,8,
6065,6376,League of Legends,PC,25.0,I play for fun,improving,Male,18,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,33,15.0
6066,6377,League of Legends,PC,8.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,21,20,47.0
6067,6378,League of Legends,PC,23.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,15,17.0
6068,6379,League of Legends,PC,12.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Finland,Multiplayer - online - with strangers,3,27,16.0
6069,6380,League of Legends,PC,20.0,I play for fun,improving,Male,18,Employed,,UK,Multiplayer - online - with real life friends,1,30,0.0
6070,6381,League of Legends,PC,21.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,11,15,21.0
6071,6382,League of Legends,PC,10.0,I play for fun,having fun,Male,18,Student at school,,Netherlands,Multiplayer - online - with real life friends,3,29,25.0
6072,6384,League of Legends,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,4,20,22.0
6073,6385,Diablo 3,PC,40.0,I play for fun,improving,Male,30,Unemployed / between jobs,Bachelor or equivalent,Belgium,Multiplayer - online - with real life friends,3,12,7.0
6074,6386,League of Legends,PC,10.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Norway,Multiplayer - online - with real life friends,1,22,5.0
6075,6387,Counter Strike,PC,15.0,I play for fun,winning,Male,18,Student at school,,Slovenia,Multiplayer - online - with real life friends,2,20,32.0
6076,6389,Other,PC,12.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Ireland,Multiplayer - online - with strangers,1,30,4.0
6077,6390,League of Legends,PC,63.0,I play for fun,winning,Male,19,Student at college / university,,Puerto Rico,Multiplayer - online - with real life friends,1,25,7.0
6078,6391,League of Legends,PC,20.0,I play for fun,having fun,Male,26,Employed,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,0,16,17.0
6079,6392,League of Legends,PC,20.0,I play for fun,having fun,Female,23,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with online acquaintances or teammates,3,20,6.0
6080,6393,League of Legends,PC,12.0,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,20,8,32.0
6081,6394,League of Legends,PC,12.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with strangers,7,22,37.0
6082,6395,League of Legends,PC,29.0,I play for fun,improving,Female,18,Student at college / university,,Belgium,Multiplayer - online - with real life friends,4,16,29.0
6083,6396,Other,PC,10.0,I play for fun,having fun,Female,22,Employed,Bachelor or equivalent,UK,Singleplayer,4,29,16.0
6084,6397,Starcraft 2,PC,28.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Belgium,Multiplayer - online - with strangers,3,12,32.0
6085,6398,Hearthstone,PC,16.0,I play for fun,All  depends on mood,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,3,22,9.0
6086,6399,Other,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,22,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,4,13,14.0
6087,6400,League of Legends,PC,15.0,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,6,11,9.0
6088,6401,League of Legends,PC,85.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,15,20,45.0
6089,6402,League of Legends,PC,10.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,32,6.0
6090,6403,League of Legends,PC,12.0,I play for fun,having fun,Male,22,Employed,Bachelor or equivalent,Netherlands,Multiplayer - online - with real life friends,3,21,4.0
6091,6404,League of Legends,PC,8.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Ukraine,Multiplayer - online - with real life friends,4,26,39.0
6092,6405,League of Legends,PC,9.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Spain,Multiplayer - online - with strangers,6,11,28.0
6093,6406,League of Legends,PC,15.0,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,4,17,17.0
6094,6407,Other,PC,50.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Finland,Multiplayer - online - with real life friends,0,17,19.0
6095,6408,League of Legends,PC,30.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,24,Employed,Master or equivalent,Portugal,Multiplayer - online - with online acquaintances or teammates,2,26,32.0
6096,6409,Diablo 3,PC,10.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Sweden,Singleplayer,11,5,44.0
6097,6410,League of Legends,PC,30.0,I play for fun,improving,Male,27,Employed,Master or equivalent,Italy,Multiplayer - online - with real life friends,11,8,33.0
6098,6411,League of Legends,PC,35.0,I play for fun,having fun,Male,18,Student at college / university,Bachelor or equivalent,France,Multiplayer - online - with real life friends,4,20,39.0
6099,6412,League of Legends,PC,20.0,I play for fun,improving,Male,18,Employed,,UK,Multiplayer - online - with strangers,0,20,38.0
6100,6413,League of Legends,PC,10.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,24,14.0
6101,6414,Other,PC,20.0,I play for fun,having fun,Male,22,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,15,20,32.0
6102,6415,Other,PC,8.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - offline (people in the same room),9,24,
6103,6416,Hearthstone,PC,8.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,22,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,2,27,7.0
6104,6417,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Austria,Multiplayer - online - with real life friends,0,31,
6105,6419,League of Legends,PC,15.0,I play for fun,winning,Male,29,Student at college / university,Master or equivalent,Canada,Multiplayer - online - with real life friends,0,28,22.0
6106,6420,League of Legends,PC,12.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,7,27,25.0
6107,6421,League of Legends,PC,45.0,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),Norway,Multiplayer - online - with strangers,6,19,26.0
6108,6422,Hearthstone,PC,14.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,27,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,1,17,6.0
6109,6423,League of Legends,PC,35.0,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Malta,Singleplayer,3,11,38.0
6110,6424,League of Legends,PC,15.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,Multiplayer - online - with strangers,8,18,45.0
6111,6425,League of Legends,PC,40.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Italy,Multiplayer - online - with real life friends,5,11,16.0
6112,6426,League of Legends,PC,8.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Denmark,Multiplayer - online - with real life friends,11,12,14.0
6113,6427,League of Legends,PC,50.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,19,Student at college / university,High school diploma (or equivalent),France,Multiplayer - online - with online acquaintances or teammates,1,31,17.0
6114,6428,Guild Wars 2,PC,25.0,I play for fun,relaxing,Male,26,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,4,29,17.0
6115,6429,League of Legends,PC,12.0,I play for fun,improving,Male,24,Employed,Master or equivalent,France,Multiplayer - online - with real life friends,1,28,7.0
6116,6430,League of Legends,PC,20.0,I play for fun,relaxing,Male,18,Student at college / university,High school diploma (or equivalent),Sweden,Multiplayer - online - with real life friends,1,28,7.0
6117,6431,League of Legends,PC,20.0,I play for fun,improving,Male,23,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,2,29,16.0
6118,6432,League of Legends,PC,20.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,18,Student at college / university,,UK,Multiplayer - online - with online acquaintances or teammates,1,15,13.0
6119,6433,League of Legends,PC,16.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Israel,Multiplayer - online - with strangers,6,19,24.0
6120,6434,League of Legends,PC,30.0,I play for fun,having fun,Male,18,Employed,,USA,Multiplayer - online - with real life friends,3,22,19.0
6121,6435,League of Legends,PC,30.0,I play for fun,improving,Male,24,Student at college / university,Bachelor or equivalent,Netherlands,Multiplayer - online - with strangers,5,24,11.0
6122,6436,Other,PC,40.0,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Turkey,Multiplayer - online - with real life friends,4,20,29.0
6123,6437,League of Legends,PC,25.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Albania,Multiplayer - online - with strangers,4,19,
6124,6438,League of Legends,PC,40.0,I play for fun,winning,Male,19,Student at school,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,14,11,19.0
6125,6439,League of Legends,PC,5.0,I play for fun,all of the above,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,8,17,27.0
