,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
1394,1464,League of Legends,PC,20.0,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,1,11,21.0
1395,1465,League of Legends,PC,20.0,I play for fun,having fun,Male,22,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,4,22,15.0
1396,1466,League of Legends,PC,35.0,I play for fun,having fun,Male,19,Employed,Bachelor or equivalent,UK,Multiplayer - online - with real life friends,4,10,31.0
1397,1467,League of Legends,PC,20.0,I play for fun,improving,Male,21,Student at school,High school diploma (or equivalent),Netherlands,Multiplayer - online - with online acquaintances or teammates,0,14,3.0
1398,1468,League of Legends,PC,10.0,I play for fun,having fun,Male,35,Employed,Bachelor or equivalent,Canada,Multiplayer - online - with online acquaintances or teammates,2,28,8.0
1399,1470,League of Legends,PC,21.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Chile,Multiplayer - online - with strangers,2,32,38.0
1400,1471,League of Legends,PC,5.0,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Sweden,Multiplayer - online - with real life friends,4,8,0.0
1401,1472,Starcraft 2,PC,10.0,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),Finland,Multiplayer - online - with strangers,5,23,10.0
1402,1473,League of Legends,PC,20.0,I play for fun,having fun,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Sweden,Multiplayer - online - with real life friends,7,5,16.0
1403,1474,League of Legends,PC,25.0,I play for fun,improving,Male,21,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,1,22,7.0
1404,1475,Other,PC,50.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,9,15,15.0
1405,1476,League of Legends,PC,40.0,I play for fun,improving,Male,22,Unemployed / between jobs,High school diploma (or equivalent),Canada,Multiplayer - online - with online acquaintances or teammates,15,20,26.0
1406,1477,League of Legends,PC,10.0,I play for fun,improving,Male,24,Unemployed / between jobs,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,4,20,10.0
